example_concoct_bin_13.fasta	example_contig_20282
example_concoct_bin_13.fasta	example_contig_30422
example_concoct_bin_13.fasta	example_contig_13
example_concoct_bin_48.fasta	example_contig_30425
example_concoct_bin_16.fasta	example_contig_70980
example_concoct_bin_21.fasta	example_contig_20
example_concoct_bin_50.fasta	example_contig_30429
example_concoct_bin_42.fasta	example_contig_20284
example_concoct_bin_46.fasta	example_contig_30430
example_concoct_bin_16.fasta	example_contig_70990
example_concoct_bin_26.fasta	example_contig_30437
example_concoct_bin_49.fasta	example_contig_42
example_concoct_bin_4.fasta	example_contig_40608
example_concoct_bin_13.fasta	example_contig_60872
example_concoct_bin_22.fasta	example_contig_50689
example_concoct_bin_42.fasta	example_contig_40609
example_concoct_bin_48.fasta	example_contig_50
example_concoct_bin_19.fasta	example_contig_60884
example_concoct_bin_48.fasta	example_contig_40612
example_concoct_bin_49.fasta	example_contig_20313
example_concoct_bin_39.fasta	example_contig_10155
example_concoct_bin_42.fasta	example_contig_60903
example_concoct_bin_46.fasta	example_contig_50690
example_concoct_bin_19.fasta	example_contig_71043
example_concoct_bin_13.fasta	example_contig_50692
example_concoct_bin_46.fasta	example_contig_40614
example_concoct_bin_26.fasta	example_contig_71052
example_concoct_bin_49.fasta	example_contig_20341
example_concoct_bin_49.fasta	example_contig_50696
example_concoct_bin_32.fasta	example_contig_57
example_concoct_bin_50.fasta	example_contig_10174
example_concoct_bin_32.fasta	example_contig_10176
example_concoct_bin_13.fasta	example_contig_71072
example_concoct_bin_42.fasta	example_contig_30453
example_concoct_bin_13.fasta	example_contig_69
example_concoct_bin_19.fasta	example_contig_40647
example_concoct_bin_13.fasta	example_contig_71075
example_concoct_bin_4.fasta	example_contig_20345
example_concoct_bin_13.fasta	example_contig_60964
example_concoct_bin_48.fasta	example_contig_79
example_concoct_bin_13.fasta	example_contig_30466
example_concoct_bin_49.fasta	example_contig_50726
example_concoct_bin_49.fasta	example_contig_81
example_concoct_bin_0.fasta	example_contig_40669
example_concoct_bin_25.fasta	example_contig_60969
example_concoct_bin_42.fasta	example_contig_10181
example_concoct_bin_20.fasta	example_contig_40674
example_concoct_bin_42.fasta	example_contig_60973
example_concoct_bin_50.fasta	example_contig_93
example_concoct_bin_42.fasta	example_contig_30483
example_concoct_bin_19.fasta	example_contig_10190
example_concoct_bin_2.fasta	example_contig_50735
example_concoct_bin_48.fasta	example_contig_94
example_concoct_bin_19.fasta	example_contig_60976
example_concoct_bin_50.fasta	example_contig_71098
example_concoct_bin_13.fasta	example_contig_40682
example_concoct_bin_50.fasta	example_contig_50742
example_concoct_bin_20.fasta	example_contig_71102
example_concoct_bin_50.fasta	example_contig_50744
example_concoct_bin_20.fasta	example_contig_99
example_concoct_bin_37.fasta	example_contig_30507
example_concoct_bin_13.fasta	example_contig_71107
example_concoct_bin_50.fasta	example_contig_100
example_concoct_bin_49.fasta	example_contig_10224
example_concoct_bin_19.fasta	example_contig_40712
example_concoct_bin_50.fasta	example_contig_61004
example_concoct_bin_13.fasta	example_contig_50751
example_concoct_bin_26.fasta	example_contig_113
example_concoct_bin_49.fasta	example_contig_40716
example_concoct_bin_49.fasta	example_contig_30522
example_concoct_bin_37.fasta	example_contig_50755
example_concoct_bin_19.fasta	example_contig_61013
example_concoct_bin_19.fasta	example_contig_40721
example_concoct_bin_13.fasta	example_contig_20396
example_concoct_bin_10.fasta	example_contig_50763
example_concoct_bin_20.fasta	example_contig_40733
example_concoct_bin_51.fasta	example_contig_30529
example_concoct_bin_20.fasta	example_contig_61035
example_concoct_bin_28.fasta	example_contig_71126
example_concoct_bin_39.fasta	example_contig_10248
example_concoct_bin_20.fasta	example_contig_50765
example_concoct_bin_49.fasta	example_contig_20408
example_concoct_bin_50.fasta	example_contig_40742
example_concoct_bin_13.fasta	example_contig_133
example_concoct_bin_49.fasta	example_contig_61044
example_concoct_bin_50.fasta	example_contig_20419
example_concoct_bin_13.fasta	example_contig_10261
example_concoct_bin_42.fasta	example_contig_30535
example_concoct_bin_4.fasta	example_contig_40748
example_concoct_bin_49.fasta	example_contig_61052
example_concoct_bin_46.fasta	example_contig_144
example_concoct_bin_16.fasta	example_contig_30542
example_concoct_bin_37.fasta	example_contig_40749
example_concoct_bin_37.fasta	example_contig_20430
example_concoct_bin_0.fasta	example_contig_10275
example_concoct_bin_45.fasta	example_contig_149
example_concoct_bin_13.fasta	example_contig_153
example_concoct_bin_25.fasta	example_contig_40757
example_concoct_bin_20.fasta	example_contig_30549
